timestamp,distance [mm],confidence [%]
2022-08-15 10:53:14.112000,907,100
2022-08-15 10:53:14.179000,911,100
2022-08-15 10:53:14.251000,916,100
2022-08-15 10:53:14.303000,920,100
2022-08-15 10:53:14.379000,925,100
2022-08-15 10:53:14.453000,927,100
2022-08-15 10:53:14.507000,930,100
2022-08-15 10:53:14.579000,936,100
2022-08-15 10:53:14.630000,938,100
2022-08-15 10:53:14.722000,941,100
2022-08-15 10:53:14.772000,946,100
2022-08-15 10:53:14.838000,950,100
2022-08-15 10:53:14.896000,951,100
2022-08-15 10:53:14.973000,951,100
2022-08-15 10:53:15.048000,949,100
2022-08-15 10:53:15.095000,949,100
2022-08-15 10:53:15.173000,955,100
2022-08-15 10:53:15.256000,957,100
2022-08-15 10:53:15.302000,953,100
2022-08-15 10:53:15.366000,957,100
2022-08-15 10:53:15.462000,955,100
2022-08-15 10:53:15.490000,954,100
2022-08-15 10:53:15.590000,951,100
2022-08-15 10:53:15.643000,948,100
2022-08-15 10:53:15.707000,944,100
2022-08-15 10:53:15.784000,946,100
2022-08-15 10:53:15.830000,944,100
2022-08-15 10:53:15.894000,939,100
2022-08-15 10:53:15.992000,934,100
2022-08-15 10:53:16.017000,932,100
2022-08-15 10:53:16.099000,925,100
2022-08-15 10:53:16.156000,923,100
2022-08-15 10:53:16.256000,920,100
2022-08-15 10:53:16.288000,918,100
2022-08-15 10:53:16.363000,916,100
2022-08-15 10:53:16.438000,916,100
2022-08-15 10:53:16.490000,912,100
2022-08-15 10:53:16.560000,907,100
2022-08-15 10:53:16.619000,904,100
2022-08-15 10:53:16.690000,895,100
2022-08-15 10:53:16.751000,893,100
2022-08-15 10:53:16.819000,893,100
2022-08-15 10:53:16.890000,892,100
2022-08-15 10:53:16.948000,891,100
2022-08-15 10:53:17.018000,889,100
2022-08-15 10:53:17.092000,886,100
2022-08-15 10:53:17.144000,884,100
2022-08-15 10:53:17.209000,883,100
2022-08-15 10:53:17.287000,884,100
2022-08-15 10:53:17.346000,884,100
2022-08-15 10:53:17.423000,887,100
2022-08-15 10:53:17.479000,885,100
2022-08-15 10:53:17.543000,885,100
2022-08-15 10:53:17.604000,890,100
2022-08-15 10:53:17.681000,890,100
2022-08-15 10:53:17.747000,889,100
2022-08-15 10:53:17.805000,891,100
2022-08-15 10:53:17.876000,895,100
2022-08-15 10:53:17.936000,898,100
2022-08-15 10:53:18.010000,902,100
2022-08-15 10:53:18.071000,904,100
2022-08-15 10:53:18.144000,908,100
2022-08-15 10:53:18.202000,911,100
2022-08-15 10:53:18.270000,917,100
2022-08-15 10:53:18.335000,920,100
2022-08-15 10:53:18.412000,923,100
2022-08-15 10:53:18.467000,931,100
2022-08-15 10:53:18.531000,939,100
2022-08-15 10:53:18.610000,942,100
