"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1367,"8/15/2022","10:18:47","00:22:48",-1.4,256,89,47.6196327,-122.3631896,10,56.61,22.7833333333333,0.423014064421069,0.42233798007881
1368,"8/15/2022","10:18:48","00:22:49",-1.9,256,89,47.6196327,-122.3631896,10,56.64,22.8,0,0
1369,"8/15/2022","10:18:49","00:22:50",-2,255,89,47.6196327,-122.363182,10,56.66,22.8166666666667,0.57026467851629,0.571096634869331
1370,"8/15/2022","10:18:50","00:22:51",-2.6,256,89,47.6196327,-122.363182,10,56.66,22.8333333333333,0,0
1371,"8/15/2022","10:18:51","00:22:52",-2.7,248,89,47.6196327,-122.363182,10,56.66,22.85,0,0
1372,"8/15/2022","10:18:52","00:22:53",-3.1,253,89,47.6196365,-122.363182,10,56.66,22.8666666666667,0.4230140658373,0.422337984145192
1373,"8/15/2022","10:18:53","00:22:54",-3.2,253,89,47.6196365,-122.3631896,10,56.64,22.8833333333333,0.570264637068073,0.571096593419227
1374,"8/15/2022","10:18:54","00:22:55",-3.8,253,89,47.6196365,-122.3631896,10,56.64,22.9,0,0
1375,"8/15/2022","10:18:55","00:22:56",-4.4,252,89,47.6196365,-122.363182,10,56.64,22.9166666666667,0.570264637068073,0.571096593419227
1376,"8/15/2022","10:18:56","00:22:57",-5.3,252,89,47.6196365,-122.3631744,10,56.61,22.9333333333333,0.570264637068073,0.571096593776891
1377,"8/15/2022","10:18:57","00:22:58",-5.7,246,88,47.6196365,-122.3631744,10,56.61,22.95,0,0
1378,"8/15/2022","10:18:58","00:22:59",-5.9,249,88,47.6196365,-122.3631744,10,56.57,22.9666666666667,0,0
1379,"8/15/2022","10:18:59","00:23:00",-5.9,251,88,47.6196365,-122.3631744,10,56.53,22.9833333333333,0,0
1380,"8/15/2022","10:19:00","00:23:01",-5.7,256,88,47.6196365,-122.3631668,10,56.52,23,0.570264638977292,0.571096596090616
1381,"8/15/2022","10:19:01","00:23:02",-5.3,262,88,47.6196708,-122.3631362,10,56.48,23.0166666666667,4.45544741069371,4.45194795072795
1382,"8/15/2022","10:19:02","00:23:03",-5,262,88,47.6196479,-122.3631515,10,56.46,23.0333333333333,2.79579720428098,2.79277185624174
1383,"8/15/2022","10:19:03","00:23:04",-5,259,88,47.6196441,-122.3631591,10,56.41,23.05,0.71002995639879,0.710296119434057
1384,"8/15/2022","10:19:04","00:23:05",-5,259,88,47.6196403,-122.3631515,10,56.37,23.0666666666667,0.710029990110037,0.710296153024692
1385,"8/15/2022","10:19:05","00:23:06",-4.7,258,88,47.6196441,-122.3631439,10,56.35,23.0833333333333,0.710029990110037,0.710296153680288
1386,"8/15/2022","10:19:06","00:23:07",-4.6,259,88,47.6196403,-122.3631515,10,56.35,23.1,0.710029990110037,0.710296153680288
1387,"8/15/2022","10:19:07","00:23:08",-4.3,274,88,47.6196441,-122.3631439,10,56.3,23.1166666666667,0.710029990110037,0.710296153680288
1388,"8/15/2022","10:19:08","00:23:09",-4.3,273,88,47.6196403,-122.3631439,10,56.3,23.1333333333333,0.423014065129185,0.422337985852299
1389,"8/15/2022","10:19:09","00:23:10",-4.3,248,88,47.6196441,-122.3631515,10,56.28,23.15,0.710029990110037,0.710296153598136
1390,"8/15/2022","10:19:10","00:23:11",-4,200,88,47.6196479,-122.3631439,10,56.26,23.1666666666667,0.71002995639879,0.710296120468778
1391,"8/15/2022","10:19:11","00:23:12",-4,190,88,47.6196441,-122.3631515,10,56.23,23.1833333333333,0.71002995639879,0.710296120468778
1392,"8/15/2022","10:19:12","00:23:13",-4.1,185,88,47.6196441,-122.3631515,10,56.21,23.2,0,0
1393,"8/15/2022","10:19:13","00:23:14",-4.3,184,88,47.6196441,-122.3631515,10,56.19,23.2166666666667,0,0
1394,"8/15/2022","10:19:14","00:23:15",-4.3,197,88,47.6196441,-122.3631439,10,56.19,23.2333333333333,0.57026455608085,0.571096514480982
1395,"8/15/2022","10:19:15","00:23:16",-5.1,194,88,47.6196479,-122.3631439,10,56.16,23.25,0.423014064421069,0.422337983990673
1396,"8/15/2022","10:19:16","00:23:17",-5.6,188,88,47.6196479,-122.3631515,10,56.16,23.2666666666667,0.570264514632625,0.571096473147289
1397,"8/15/2022","10:19:17","00:23:18",-5.7,196,88,47.6196479,-122.3631515,10,56.14,23.2833333333333,0,0
1398,"8/15/2022","10:19:18","00:23:19",-5.6,177,88,47.6196479,-122.3631515,10,56.12,23.3,0,0
1399,"8/15/2022","10:19:20","00:23:20",-5.3,164,88,47.6196479,-122.3631515,10,56.12,23.3166666666667,0,0
1400,"8/15/2022","10:19:21","00:23:21",-5.2,167,88,47.6196517,-122.3631515,10,56.08,23.3333333333333,0.423014065129185,0.422337984584549
1401,"8/15/2022","10:19:22","00:23:22",-5.2,167,88,47.6196556,-122.3631591,10,56.07,23.35,0.716717731441904,0.716960159157483
1402,"8/15/2022","10:19:23","00:23:23",-5.1,163,88,47.6196556,-122.3631515,10,56.05,23.3666666666667,0.570264430645425,0.571096388856984
1403,"8/15/2022","10:19:24","00:23:24",-5,160,88,47.6196556,-122.3631515,10,56.01,23.3833333333333,0,0
1404,"8/15/2022","10:19:25","00:23:25",-5.2,163,88,47.6196594,-122.3631591,10,55.99,23.4,0.710029856498374,0.710296021764271
1405,"8/15/2022","10:19:26","00:23:26",-5.3,165,88,47.6196594,-122.3631591,10,55.96,23.4166666666667,0,0
1406,"8/15/2022","10:19:27","00:23:27",-5.2,141,88,47.6196632,-122.3631591,10,55.96,23.4333333333333,0.423014064421069,0.422337984249049
1407,"8/15/2022","10:19:28","00:23:28",-5.3,100,88,47.6196632,-122.3631668,10,55.92,23.45,0.577767823923745,0.578610728714105
1408,"8/15/2022","10:19:29","00:23:29",-5.2,76,88,47.6196632,-122.3631744,10,55.92,23.4666666666667,0.570264347748957,0.571096305403709
1409,"8/15/2022","10:19:30","00:23:30",-5.3,70,88,47.6196632,-122.3631744,10,55.89,23.4833333333333,0,0
1410,"8/15/2022","10:19:31","00:23:31",-5.2,65,88,47.619667,-122.3631744,10,55.83,23.5,0.423014065129185,0.422337985430131
1411,"8/15/2022","10:19:32","00:23:32",-5.2,67,88,47.619667,-122.3631744,10,55.81,23.5166666666667,0,0
1412,"8/15/2022","10:19:33","00:23:33",-5.2,42,88,47.6196708,-122.3631744,10,55.78,23.5333333333333,0.423014065129185,0.422337984500751
1413,"8/15/2022","10:19:34","00:23:34",-5.3,43,88,47.6196746,-122.3631744,10,55.74,23.55,0.423014065129185,0.422337987295581
1414,"8/15/2022","10:19:35","00:23:35",-5.3,38,88,47.6196746,-122.3631668,10,55.71,23.5666666666667,0.570264223404238,0.571096181068689
1415,"8/15/2022","10:19:36","00:23:36",-5.4,28,88,47.6196746,-122.3631668,10,55.69,23.5833333333333,0,0
1416,"8/15/2022","10:19:37","00:23:37",-5.4,37,88,47.6196784,-122.3631668,10,55.67,23.6,0.423014064421069,0.422337987636807
1417,"8/15/2022","10:19:38","00:23:38",-5.3,71,88,47.6196823,-122.3631668,10,55.62,23.6166666666667,0.434146014677397,0.433452143739233
1418,"8/15/2022","10:19:39","00:23:39",-5.3,94,88,47.6196823,-122.3631668,10,55.6,23.6333333333333,0,0
1419,"8/15/2022","10:19:40","00:23:40",-5.4,106,88,47.6196823,-122.3631668,10,55.58,23.65,0,0
